month,RF Infraestrutura_captacao,RF Infraestrutura_resgate,RF Infraestrutura_liquida,Renda Fixa Duração Baixa Crédito Livre_captacao,Renda Fixa Duração Baixa Crédito Livre_resgate,Renda Fixa Duração Baixa Crédito Livre_liquida,Renda Fixa Duração Livre Crédito Livre_captacao,Renda Fixa Duração Livre Crédito Livre_resgate,Renda Fixa Duração Livre Crédito Livre_liquida,Renda Fixa Duração Média Crédito Livre_captacao,Renda Fixa Duração Média Crédito Livre_resgate,Renda Fixa Duração Média Crédito Livre_liquida,total_captacao,total_resgate,total_liquida
2015-01,119669.47,19915228.54,-19795559.07,545272089.05,392723836.96,152548252.09,2794617478.12,3306907662.71,-512290184.59,103889624.92,34845947.17,69043677.75,3443898861.56,3754392675.38,-310493813.82
2015-02,140706.87,2828268.64,-2687561.77,355913031.93,376005051.32,-20092019.39,2853834022.52,3372579141.92,-518745119.40,32542923.28,36854783.01,-4311859.73,3242430684.60,3788267244.89,-545836560.29
2015-03,11707495.37,15817931.44,-4110436.07,473432563.40,433711432.91,39721130.49,5428586764.91,3193456765.08,2235129999.83,56098401.34,40070278.50,16028122.84,5969825225.02,3683056407.93,2286768817.09
2015-04,24936049.09,1089644.05,23846405.04,330983601.89,416339713.63,-85356111.74,3725868868.78,4590023916.08,-864155047.30,45464699.49,86996907.28,-41532207.79,4127253219.25,5094450181.04,-967196961.79
2015-05,10555487.57,1086625.48,9468862.09,262012751.90,269735021.89,-7722269.99,3975854250.22,3833014733.62,142839516.60,54617174.41,125199194.16,-70582019.75,4303039664.10,4229035575.15,74004088.95
2015-06,12146296.41,15157646.65,-3011350.24,262911331.18,322201526.10,-59290194.92,4977056189.13,3685506237.12,1291549952.01,106227928.62,84240933.70,21986994.92,5358341745.34,4107106343.57,1251235401.77
2015-07,3280000.40,1095731.58,2184268.82,234593853.25,323314591.46,-88720738.21,6295776393.78,4209216033.59,2086560360.19,96299788.61,32983501.85,63316286.76,6629950036.04,4566609858.48,2063340177.56
2015-08,1210872.70,4123584.72,-2912712.02,209951715.17,234245323.33,-24293608.16,4208592170.03,3801907937.38,406684232.65,67536706.93,60501531.16,7035175.77,4487291464.83,4100778376.59,386513088.24
2015-09,34299352.18,2934631.58,31364720.60,226319504.94,184502728.59,41816776.35,4995762334.13,5082840047.72,-87077713.59,48764290.96,88510388.21,-39746097.25,5305145482.21,5358787796.10,-53642313.89
2015-10,3170737.48,1285101.96,1885635.52,134673370.99,142010565.68,-7337194.69,5336888949.27,4551328152.09,785560797.18,41471160.54,70685022.04,-29213861.50,5516204218.28,4765308841.77,750895376.51
2015-11,9873385.06,3109491.16,6763893.90,112551905.24,133121977.08,-20570071.84,4944776514.89,6326613300.56,-1381836785.67,78565652.84,87065062.11,-8499409.27,5145767458.03,6549909830.91,-1404142372.88
2015-12,11384727.18,2282148.50,9102578.68,215398829.80,184104618.42,31294211.38,6952893557.70,7349455947.88,-396562390.18,72676747.17,42587085.61,30089661.56,7252353861.85,7578429800.41,-326075938.56
2016-01,16599859.78,1117048.98,15482810.80,181423838.72,164686411.85,16737426.87,4893634506.31,6668247042.43,-1774612536.12,34808789.81,43517470.81,-8708681.00,5126466994.62,6877567974.07,-1751100979.45
2016-02,3765414.50,2484808.13,1280606.37,187956492.03,167064455.70,20892036.33,4880061629.11,7335990929.38,-2455929300.27,48112151.90,106129933.61,-58017781.71,5119895687.54,7611670126.82,-2491774439.28
2016-03,11784248.84,1753868.71,10030380.13,157691958.73,249920430.44,-92228471.71,5565864128.41,6153090810.37,-587226681.96,50529479.82,136583658.37,-86054178.55,5785869815.80,6541348767.89,-755478952.09
2016-04,19765582.00,1965452.65,17800129.35,105357349.01,266828439.90,-161471090.89,4690577178.63,5519572411.18,-828995232.55,36636647.25,124863964.05,-88227316.80,4852336756.89,5913230267.78,-1060893510.89
2016-05,22438229.28,34730623.28,-12292394.00,161395679.89,123197442.44,38198237.45,4490511303.35,6383447599.24,-1892936295.89,105658573.09,75070420.89,30588152.20,4780003785.61,6616446085.85,-1836442300.24
2016-06,34808042.53,1519167.90,33288874.63,172410649.13,102919782.87,69490866.26,5522955726.45,5366517886.05,156437840.40,85772378.31,55292605.01,30479773.30,5815946796.42,5526249441.83,289697354.59
2016-07,76748946.66,3677809.39,73071137.27,130608069.71,137616903.04,-7008833.33,4484967801.94,5863591828.22,-1378624026.28,49379807.60,50996794.80,-1616987.20,4741704625.91,6055883335.45,-1314178709.54
2016-08,82951742.77,65974290.86,16977451.91,294918643.27,87433812.41,207484830.86,7580500834.64,6012333597.82,1568167236.82,117199517.33,103934608.10,13264909.23,8075570738.01,6269676309.19,1805894428.82
2016-09,57745035.56,4450761.11,53294274.45,230571179.55,107434018.94,123137160.61,6118610588.98,5445035213.10,673575375.88,45347732.61,77604711.72,-32256979.11,6452274536.70,5634524704.87,817749831.83
2016-10,37489933.39,28708314.43,8781618.96,153904573.50,139476490.05,14428083.45,5325509419.74,5121377239.39,204132180.35,48788105.29,57161642.20,-8373536.91,5565692031.92,5346723686.07,218968345.85
2016-11,56766706.91,14627654.35,42139052.56,93697672.82,90212454.08,3485218.74,7359052232.68,5749681005.69,1609371226.99,36158536.70,50271990.33,-14113453.63,7545675149.11,5904793104.45,1640882044.66
2016-12,11452813.87,11641843.44,-189029.57,81880993.40,88299275.21,-6418281.81,8714446199.15,9071545730.55,-357099531.40,42968204.04,103757336.20,-60789132.16,8850748210.46,9275244185.40,-424495974.94
2017-01,17646920.17,21550116.08,-3903195.91,134402047.43,56783567.72,77618479.71,8858200999.64,5703558410.79,3154642588.85,41635759.18,50332612.80,-8696853.62,9051885726.42,5832224707.39,3219661019.03
