month,Certificados de Recebíveis Imobiliários,Certificados de Recebíveis do Agronegócio,Cotas de FIDC,Debêntures,Notas Comerciais,total
2015-01,24861511.14,0.00,87000000.00,0.00,0.00,111861511.14
2015-02,74062500.00,0.00,0.00,0.00,0.00,74062500.00
2015-03,300000000.00,0.00,150003780.51,0.00,0.00,450003780.51
2015-04,88200000.00,0.00,1000000000.00,0.00,0.00,1088200000.00
2015-05,0.00,0.00,465743000.00,0.00,0.00,465743000.00
2015-06,1351250000.00,0.00,0.00,0.00,0.00,1351250000.00
2015-07,0.00,0.00,76000000.00,0.00,0.00,76000000.00
2015-09,1102176493.22,0.00,0.00,0.00,0.00,1102176493.22
2015-10,860000000.00,0.00,0.00,0.00,0.00,860000000.00
2015-11,0.00,0.00,1008900000.00,0.00,0.00,1008900000.00
2015-12,67321000.00,0.00,150000000.00,0.00,0.00,217321000.00
2016-02,40685579.30,107646000.00,25000000.00,0.00,0.00,173331579.30
2016-03,53495215.01,575000000.00,36500000.00,0.00,0.00,664995215.01
2016-04,0.00,2079485000.00,179612000.00,0.00,0.00,2259097000.00
2016-05,183793000.00,575000000.00,90000000.00,0.00,0.00,848793000.00
2016-06,0.00,1350000000.00,0.00,0.00,0.00,1350000000.00
2016-07,425000000.00,441331000.00,500000134.94,0.00,0.00,1366331134.94
2016-08,19945761.61,70000000.00,70000000.00,0.00,0.00,159945761.61
2016-09,140000000.00,0.00,0.00,0.00,0.00,140000000.00
2016-10,872048000.00,0.00,0.00,0.00,0.00,872048000.00
2016-11,0.00,315000000.00,0.00,0.00,0.00,315000000.00
2016-12,391872761.80,4147873000.00,0.00,0.00,0.00,4539745761.80
2017-01,0.00,0.00,690000000.00,0.00,0.00,690000000.00
2017-03,180000000.00,1180000000.00,0.00,0.00,0.00,1360000000.00
2017-04,0.00,2199691000.00,17250000.00,0.00,0.00,2216941000.00
2017-05,0.00,1172500000.00,291441510.00,0.00,0.00,1463941510.00
2017-06,172500000.00,230000000.00,0.00,0.00,0.00,402500000.00
2017-07,86250000.00,345000000.00,0.00,0.00,0.00,431250000.00
2017-08,0.00,480498000.00,30000000.00,0.00,0.00,510498000.00
2017-09,250000000.00,1348346000.00,0.00,0.00,0.00,1598346000.00
2017-10,1558848000.00,1229077000.00,800000409.12,0.00,0.00,3587925409.12
2017-11,0.00,115000000.00,801982118.91,0.00,0.00,916982118.91
2017-12,0.00,1405513000.00,0.00,0.00,0.00,1405513000.00
2018-01,12024351.04,0.00,10000074.73,0.00,0.00,22024425.77
2018-02,370000000.00,0.00,0.00,0.00,0.00,370000000.00
2018-03,562837000.00,580000000.00,0.00,0.00,0.00,1142837000.00
2018-05,0.00,530574000.00,0.00,0.00,0.00,530574000.00
2018-06,628000000.00,200000000.00,0.00,0.00,0.00,828000000.00
2018-07,0.00,811773000.00,0.00,0.00,0.00,811773000.00
2018-08,400000000.00,0.00,330000000.00,0.00,0.00,730000000.00
2018-10,0.00,517185000.00,450000007.94,0.00,0.00,967185007.94
2018-11,200000000.00,0.00,0.00,0.00,0.00,200000000.00
2018-12,715000000.00,950000000.00,375000000.00,0.00,0.00,2040000000.00
2019-01,26940000.00,300000000.00,0.00,0.00,0.00,326940000.00
2019-03,250000000.00,1700000000.00,0.00,0.00,0.00,1950000000.00
2019-04,0.00,1950000000.00,0.00,0.00,0.00,1950000000.00
2019-05,0.00,1000000000.00,0.00,0.00,0.00,1000000000.00
2019-06,300000000.00,300000000.00,0.00,0.00,0.00,600000000.00
2019-07,800000000.00,2056169000.00,1000000053.34,0.00,0.00,3856169053.34
