year,ibov_price,total_earnings,pe_ratio,pe_percentile,n_companies
2010,69305.0,128835324000.0,25.43838006026771,46.666666666666664,23
2011,56754.0,140586569000.0,19.09028804839922,33.33333333333333,25
2012,60952.0,80655769000.0,35.736528483255604,86.66666666666667,25
2013,51507.0,89924666000.0,27.086148778174877,60.0,26
2014,50007.0,62966867000.0,37.55593286688831,93.33333333333333,25
2015,43350.0,-10332748000.0,-198.39608678806664,6.666666666666667,26
2016,60227.0,88433581000.0,32.20578260089051,66.66666666666666,26
2017,76402.0,110628883000.0,32.658485252946015,73.33333333333333,26
2018,87887.0,184040728000.0,22.582422859788476,40.0,26
2019,115645.0,154191389000.0,35.46717333749634,80.0,26
2020,119306.0,128221364000.0,44.000917297847195,100.0,25
2021,104822.0,464360441000.0,10.674734066351238,13.333333333333334,25
2022,110031.0,478845651000.0,10.86624143457376,20.0,25
2023,134185.0,333772141000.0,19.011383547945464,26.666666666666668,25
2024,120283.0,218589328000.0,26.021668153241933,53.333333333333336,24
